ANO,MES,NCM,KG,FOB,FRETE,date,KG_,FOB_,FRETE_,KG_s,FOB_s,FRETE_s
2011,10,31059090-0,4008400.0000000177,4066606,132573,2011-10-01,6.6029710534591874,6.60923209708744,5.122455084061273,0.031057855487005435,0.06841072513938518,0.026790286565130415
2012,11,31059090-0,4069780.0000000168,4019551,113916,2012-11-01,6.6095709332133294,6.604177543354865,5.056584726921059,0.03153355941644388,0.06761902158025242,0.023018410563759705
2013,5,31059090-0,2508000.0000000186,2385953,74503,2013-05-01,6.399327532158682,6.3776618844132456,4.8721737607645865,0.01942953721184309,0.040133624687421786,0.01505030482103452
2013,10,31059090-0,4733058.000000037,5099268,126537,2013-10-01,6.675141826446787,6.707507837592605,5.102217533782919,0.03667406040878818,0.08578533316788683,0.025569991579641127
2013,12,31059090-0,3001700.0000000065,3004103,81946,2013-12-01,6.477367285224014,6.477714818999498,4.913527759366859,0.023255784034322102,0.050534040266593194,0.016555052265864997
2014,2,31059090-0,4629340.000000016,4228805,145323,2014-02-01,6.665519078536386,6.626217659283456,5.16233435471502,0.0358702308201028,0.07113973429011884,0.029367947444021797
2014,6,31059090-0,2640592.00000003,2451627,75029,2014-06-01,6.4217013031997485,6.38945439563261,4.875229158133811,0.0204571445010596,0.041238594181470974,0.015156645967881334
2014,10,31059090-0,3973300.000000016,3673223,112723,2014-10-01,6.599151357259191,6.565047295001872,5.052012538530223,0.030785825380728295,0.06179202954481883,0.02277722237328775
2014,11,31059090-0,2813719.00000003,2598951,77367,2014-11-01,6.449280723218496,6.414798091494002,4.888555756884667,0.02179890393722598,0.04371733045063841,0.01562931821375177
2015,2,31059090-0,2516800.0000000186,2033104,69076,2015-02-01,6.4008487052792145,6.308159594806699,4.839327180831956,0.01949773849204932,0.034196916385723086,0.01395313104928993
2015,9,31059090-0,6150411.000000002,5758907,131932,2015-09-01,6.788904138388097,6.760340065209375,5.1203501460989065,0.04765875235244039,0.09688380397954913,0.026660695928003405
2015,11,31059090-0,5462535.000000025,4529928,123792,2015-11-01,6.737394232634438,6.656091299264223,5.092692579513525,0.04232761328162906,0.07620614914160607,0.025015036355126866
2016,5,31059090-0,5010640.000000015,3943268,112184,2016-05-01,6.699893201060208,6.595856294437126,5.049930921027011,0.03882536129085686,0.06633555494331003,0.02266825302319187
2017,1,31059090-0,2610993.0000000075,2031967,63027,2017-01-01,6.416805707493015,6.307916650543831,4.799526635787316,0.020227747945056676,0.034177786283784206,0.012730207860551578
2017,4,31059090-0,2073612.0000000186,1567715,39492,2017-04-01,6.316727497461483,6.195267113720044,4.5965091283419985,0.016062967017953976,0.026366714968631768,0.00797214913233913
2017,7,31059090-0,4006654.0000000056,2771151,59007,2017-07-01,6.602781839967325,6.442660191130499,4.770903535049686,0.031044323733000787,0.04661460710312294,0.011917486548148178
2017,8,31059090-0,4066875.000000028,2689808,60364,2017-08-01,6.609260824077934,6.429721280925652,4.780778010433731,0.031511045243830436,0.04524600562377887,0.0121918305334545
2017,11,31059090-0,2638416.000000052,2108160,47728,2017-11-01,6.421343271976408,6.323903568817623,4.678773236017987,0.020440280184499688,0.03545973866463644,0.009637216975362616
2017,12,31059090-0,2525018.0000000186,1921740,42311,2017-12-01,6.4022644784043115,6.283694629844795,4.6264532897924076,0.019561429187587364,0.03232320954990841,0.008542064898424998
2018,4,31059090-0,4574343.000000051,3437042,91360,2018-04-01,6.660328726388416,6.536184839165678,4.960756090901773,0.03544399606925056,0.05781826823784757,0.018458275757149974
2018,7,31059090-0,3024100.0000000177,2288567,82362,2018-07-01,6.480596148181727,6.359563631338084,4.915726884065685,0.023429387293028958,0.03849509864747487,0.0166391547698351
2018,9,31059090-0,5005173.000000004,3776513,119500,2018-09-01,6.6994190931333994,6.577090984020224,5.077367905284157,0.038782991245528656,0.0635298907842795,0.024147324943973782
2019,1,31059090-0,8670108.000000022,6173156,269292,2019-01-01,6.938024507339177,6.790507252033224,5.43022345178707,0.06718677066287226,0.10385357143608262,0.05443069579659324
2019,5,31059090-0,5069225.000000015,3933980,99097,2019-05-01,6.70494156802155,6.5948321476749,4.996060507127386,0.03927940356368437,0.06617928371480669,0.020022461029305477
