ANO,MES,NCM,KG,31022100-0,31021010-0,31042090-0,31054000-0,31059090-1,31055900-2,grupo_mes
2022,1,31054000-0,10065610.00000003,33899999.999999985,25339843.000000015,125799676.99999991,34416530.000000015,4110400.000000039,6609000.000000002,2
2022,1,31055900-2,6609000.000000002,17999999.999999985,6335000.000000013,51541886.99999997,27625920.0,4110400.000000039,0.0,1
2022,1,31055900-2,13061594.000000015,33899999.999999985,25339843.000000015,125799676.99999991,34416530.000000015,4110400.000000039,6609000.000000002,2
2022,2,31021010-0,25687204.00000002,24669228.99999999,16501390.00000001,85564569.99999996,27773000.00000002,6630500.000000023,6452594.000000012,3
2022,2,31022100-0,3598229.0000000065,15900000.0,19004843.0,74257789.99999994,6790610.000000013,0.0,6609000.000000002,1
2022,2,31022100-0,28717229.000000007,40569228.999999985,35506233.00000001,159822359.99999988,34563610.00000003,6630500.000000023,13061594.000000015,3
2022,2,31042090-0,28116668.999999985,15900000.0,19004843.0,74257789.99999994,6790610.000000013,0.0,6609000.000000002,1
2022,2,31042090-0,137796495.9999999,40569228.999999985,35506233.00000001,159822359.99999988,34563610.00000003,6630500.000000023,13061594.000000015,3
2022,2,31054000-0,3275000.0000000177,15900000.0,19004843.0,74257789.99999994,6790610.000000013,0.0,6609000.000000002,1
2022,2,31054000-0,56556450.0,40569228.999999985,35506233.00000001,159822359.99999988,34563610.00000003,6630500.000000023,13061594.000000015,3
2022,2,31055900-2,6452594.000000012,15900000.0,19004843.0,74257789.99999994,6790610.000000013,0.0,6609000.000000002,1
2022,2,31055900-2,10485594.00000003,36970999.999999985,35506233.00000001,131705690.99999991,31288610.000000015,6630500.000000023,6609000.000000002,3
2022,2,31059090-1,9192580.000000054,24669228.99999999,16501390.00000001,85564569.99999996,27773000.00000002,6630500.000000023,6452594.000000012,3
2022,3,31021010-0,16501390.00000001,3598229.0000000065,0.0,28116668.999999985,3275000.0000000177,0.0,6452594.000000012,1
2022,3,31021010-0,25687204.00000002,24669228.99999999,16501390.00000001,85564569.99999996,27773000.00000002,6630500.000000023,6452594.000000012,2
2022,3,31022100-0,21070999.99999998,3598229.0000000065,0.0,28116668.999999985,3275000.0000000177,0.0,6452594.000000012,1
2022,3,31022100-0,25119000.0,24669228.99999999,16501390.00000001,85564569.99999996,27773000.00000002,6630500.000000023,6452594.000000012,2
2022,3,31042090-0,57447900.99999997,3598229.0000000065,0.0,28116668.999999985,3275000.0000000177,0.0,6452594.000000012,1
2022,3,31042090-0,109679826.99999991,24669228.99999999,16501390.00000001,85564569.99999996,27773000.00000002,6630500.000000023,6452594.000000012,2
2022,3,31054000-0,24498000.0,3598229.0000000065,0.0,28116668.999999985,3275000.0000000177,0.0,6452594.000000012,1
2022,3,31054000-0,53281449.999999985,24669228.99999999,16501390.00000001,85564569.99999996,27773000.00000002,6630500.000000023,6452594.000000012,2
2022,3,31055900-2,4033000.0000000168,21070999.99999998,16501390.00000001,57447900.99999997,24498000.0,6630500.000000023,0.0,2
2022,3,31059090-1,6630500.000000023,3598229.0000000065,0.0,28116668.999999985,3275000.0000000177,0.0,6452594.000000012,1
2022,3,31059090-1,9192580.000000054,24669228.99999999,16501390.00000001,85564569.99999996,27773000.00000002,6630500.000000023,6452594.000000012,2
2022,4,31021010-0,9185814.00000001,21070999.99999998,16501390.00000001,57447900.99999997,24498000.0,6630500.000000023,0.0,1
2022,4,31022100-0,4048000.0000000177,21070999.99999998,16501390.00000001,57447900.99999997,24498000.0,6630500.000000023,0.0,1
2022,4,31042090-0,52231925.99999995,21070999.99999998,16501390.00000001,57447900.99999997,24498000.0,6630500.000000023,0.0,1
2022,4,31054000-0,28783449.99999998,21070999.99999998,16501390.00000001,57447900.99999997,24498000.0,6630500.000000023,0.0,1
2022,4,31055900-2,4033000.0000000168,21070999.99999998,16501390.00000001,57447900.99999997,24498000.0,6630500.000000023,0.0,1
2022,4,31059090-1,2562080.0000000307,21070999.99999998,16501390.00000001,57447900.99999997,24498000.0,6630500.000000023,0.0,1
2022,5,31021010-0,46801059.99999997,4048000.0000000177,9185814.00000001,52231925.99999995,28783449.99999998,2562080.0000000307,4033000.0000000168,1
2022,5,31021010-0,55001059.99999999,30773120.000000022,55986873.99999998,141043301.99999988,76234569.99999994,6535890.000000036,11733000.000000017,2
2022,5,31021010-0,80901059.99999997,65799399.999999985,64186874.0,221076541.99999982,116425542.99999991,6535890.000000036,17643300.00000002,3
2022,5,31022100-0,26725120.000000004,4048000.0000000177,9185814.00000001,52231925.99999995,28783449.99999998,2562080.0000000307,4033000.0000000168,1
2022,5,31022100-0,61751399.99999997,30773120.000000022,55986873.99999998,141043301.99999988,76234569.99999994,6535890.000000036,11733000.000000017,2
2022,5,31022100-0,98051399.99999994,65799399.999999985,64186874.0,221076541.99999982,116425542.99999991,6535890.000000036,17643300.00000002,3
2022,5,31042090-0,88811375.99999993,4048000.0000000177,9185814.00000001,52231925.99999995,28783449.99999998,2562080.0000000307,4033000.0000000168,1
2022,5,31042090-0,168844615.99999988,30773120.000000022,55986873.99999998,141043301.99999988,76234569.99999994,6535890.000000036,11733000.000000017,2
2022,5,31042090-0,253018543.99999976,65799399.999999985,64186874.0,221076541.99999982,116425542.99999991,6535890.000000036,17643300.00000002,3
2022,5,31054000-0,47451119.99999996,4048000.0000000177,9185814.00000001,52231925.99999995,28783449.99999998,2562080.0000000307,4033000.0000000168,1
2022,5,31054000-0,87642092.99999993,30773120.000000022,55986873.99999998,141043301.99999988,76234569.99999994,6535890.000000036,11733000.000000017,2
2022,5,31054000-0,95235102.99999994,65799399.999999985,64186874.0,221076541.99999982,116425542.99999991,6535890.000000036,17643300.00000002,3
2022,5,31055900-2,7700000.0,4048000.0000000177,9185814.00000001,52231925.99999995,28783449.99999998,2562080.0000000307,4033000.0000000168,1
2022,5,31055900-2,13610300.000000004,30773120.000000022,55986873.99999998,141043301.99999988,76234569.99999994,6535890.000000036,11733000.000000017,2
2022,5,31055900-2,27860299.999999993,65799399.999999985,64186874.0,221076541.99999982,116425542.99999991,6535890.000000036,17643300.00000002,3
2022,5,31059090-1,3973810.0000000056,4048000.0000000177,9185814.00000001,52231925.99999995,28783449.99999998,2562080.0000000307,4033000.0000000168,1
2022,5,31059090-1,3973810.0000000056,4048000.0000000177,9185814.00000001,52231925.99999995,28783449.99999998,2562080.0000000307,4033000.0000000168,2
2022,5,31059090-1,7964560.000000022,39074279.99999998,17385814.00000003,132265165.99999988,68974422.99999994,2562080.0000000307,9943300.000000019,3
2022,6,31021010-0,8200000.000000021,26725120.000000004,46801059.99999997,88811375.99999993,47451119.99999996,3973810.0000000056,7700000.0,1
2022,6,31022100-0,35026279.99999996,26725120.000000004,46801059.99999997,88811375.99999993,47451119.99999996,3973810.0000000056,7700000.0,1
2022,6,31042090-0,80033239.99999994,26725120.000000004,46801059.99999997,88811375.99999993,47451119.99999996,3973810.0000000056,7700000.0,1
2022,6,31054000-0,40190972.99999996,26725120.000000004,46801059.99999997,88811375.99999993,47451119.99999996,3973810.0000000056,7700000.0,1
2022,6,31055900-2,5910300.000000003,26725120.000000004,46801059.99999997,88811375.99999993,47451119.99999996,3973810.0000000056,7700000.0,1
2022,7,31021010-0,25899999.999999985,35026279.99999996,8200000.000000021,80033239.99999994,40190972.99999996,0.0,5910300.000000003,1
2022,7,31021010-0,39403459.999999985,71326279.99999994,34100000.00000001,164207167.99999985,47783982.999999985,3990750.0000000168,20160299.999999993,2
2022,7,31022100-0,36299999.99999997,35026279.99999996,8200000.000000021,80033239.99999994,40190972.99999996,0.0,5910300.000000003,1
2022,7,31022100-0,44449999.99999997,71326279.99999994,34100000.00000001,164207167.99999985,47783982.999999985,3990750.0000000168,20160299.999999993,2
2022,7,31042090-0,84173927.99999991,35026279.99999996,8200000.000000021,80033239.99999994,40190972.99999996,0.0,5910300.000000003,1
2022,7,31042090-0,135256987.9999999,71326279.99999994,34100000.00000001,164207167.99999985,47783982.999999985,3990750.0000000168,20160299.999999993,2
2022,7,31054000-0,7593010.000000022,35026279.99999996,8200000.000000021,80033239.99999994,40190972.99999996,0.0,5910300.000000003,1
2022,7,31054000-0,41099009.99999999,71326279.99999994,34100000.00000001,164207167.99999985,47783982.999999985,3990750.0000000168,20160299.999999993,2
2022,7,31055900-2,14249999.99999999,35026279.99999996,8200000.000000021,80033239.99999994,40190972.99999996,0.0,5910300.000000003,1
2022,7,31055900-2,25254229.999999985,71326279.99999994,34100000.00000001,164207167.99999985,47783982.999999985,3990750.0000000168,20160299.999999993,2
2022,7,31059090-1,3990750.0000000168,35026279.99999996,8200000.000000021,80033239.99999994,40190972.99999996,0.0,5910300.000000003,1
2022,7,31059090-1,3990750.0000000168,35026279.99999996,8200000.000000021,80033239.99999994,40190972.99999996,0.0,5910300.000000003,2
2022,8,31021010-0,13503460.000000004,36299999.99999997,25899999.999999985,84173927.99999991,7593010.000000022,3990750.0000000168,14249999.99999999,1
2022,8,31021010-0,33903460.0,42399999.999999985,25899999.999999985,127038023.99999988,28436452.000000045,8958650.000000056,24246496.0,3
2022,8,31022100-0,8149999.999999999,36299999.99999997,25899999.999999985,84173927.99999991,7593010.000000022,3990750.0000000168,14249999.99999999,1
2022,8,31022100-0,40549999.999999985,50549999.999999985,39403459.999999985,178121083.99999988,61942452.000000015,8958650.000000056,35250725.99999999,3
