ANO,MES,NCM,PAIS,URF,KG,FOB,FRETE,SEGURO,z_diff,z_score_KG,z_score_FOB
2023,5,31042090,23,517800,3300000.0000000065,1356696,117150,498,0.16055785534812106,-0.4295445165056069,-0.30613452215436254
2023,5,31042090,149,517800,38100337.999999955,17511347,1783195,8751,-3.0618366199102853,3.465231289086212,4.061005855951051
2023,5,31042090,383,517800,5500000.000000004,2331340,163735,1090,-0.030552598389303152,-0.18332544896948114,-0.04265577744621795
2023,5,31042090,676,517800,8006338.0,6055371,941600,1370,-0.9548370677802916,0.09717828070795441,0.9640738726970306
2023,6,31042090,23,517800,17599999.999999985,6347440,516560,3102,-0.7182126295448963,1.1708794224792103,1.0430298540483374
2023,6,31042090,149,517800,29852530.999999966,10089418,713118,6244,-1.3267508932899927,2.542155221468971,2.054611176218785
2023,6,31042090,676,517800,11382899.999999994,2497265,187106,646,0.11810844563114109,0.47507552939791603,0.0021992780568158665
2023,7,31042090,23,517800,20017276.99999998,11049629,659500,3747,-1.9098554278093056,1.4414156447139936,2.3141882001731235
2023,7,31042090,149,517800,24641285.999999978,11148427,1209453,6661,-1.784458532989237,1.9589243648315635,2.340896591154523
2023,7,31042090,676,517800,46768456.99999994,25359271,3077451,10111,-4.898256959818103,4.435347733391746,6.182561176750154
2023,8,31042090,149,517800,21941794.99999998,13250514,1183136,9717,-2.441521569235872,1.656803384448762,2.909160740964412
2023,8,31042090,383,517800,5293000.000000004,1537511,149792,0,0.1772366294496731,-0.2064924248694712,-0.2572542035719846
2023,8,31042090,676,517800,10499999.999999996,2527350,475650,1255,0.08093275685733006,0.37626334088535,0.010332255876968179
2023,9,31042090,149,517800,52524999.99999993,21236374,1894331,13167,-3.5943409144136833,5.079607119615205,5.06800475807731
2023,9,31042090,676,517800,21249999.99999998,5646685,921400,2296,-0.40870963284219936,1.579379239073237,0.8535924310016088
2023,10,31042090,149,517800,7900000.0,2210272,543520,1201,0.08112334205906808,0.08527717016083779,-0.07538449138107585
2023,10,31042090,383,517800,9129999.999999998,2718318,281843,1828,-0.015757964353324876,0.22293601246512623,0.061957268619492585
2023,10,31042090,676,517800,20407365.99999998,5328255,1041499,2776,-0.3503455688013789,1.4850735310031298,0.76751019309996
1997,3,31022100,249,510100,4003056.0000000056,385794,72000,1574,0.44615181332163106,-0.35086006525757124,-0.5686016795930037
1997,3,31022100,249,517600,2001528.0000000084,194148,36000,1393,0.4321204935571156,-0.5748665915336834,-0.6204099783239629
1997,4,31022100,23,510100,4121450.0000000056,403784,40720,1099,0.44518304943509945,-0.33760967422035665,-0.5637383832332051
1997,4,31022100,23,517600,2024292.0000000084,216599,20000,1132,0.4268000547168922,-0.5723188956912323,-0.6143407250402588
1997,4,31022100,249,510100,4903750.000000004,475646,88218,0,0.4514898630365341,-0.25005641215966984,-0.5443116904590058
1997,5,31022100,23,510100,3677529.000000006,378785,36950,1219,0.43733847378321333,-0.38729231725658597,-0.5704964458067796
1997,5,31022100,23,517600,525000.0000000112,54075,5250,16,0.4214169794721483,-0.7401162948750382,-0.6582763769346393
1997,8,31022100,149,517600,3153587.0000000065,324819,37800,2202,0.43469237829853435,-0.44593073120341,-0.5850852535529102
1997,8,31022100,249,510100,10510162.999999996,1065343,126000,4517,0.4764962661951215,0.3774007610596089,-0.384896944851216
1997,8,31022100,538,510100,8441.000000011176,660063,101400,0,0.2406061919836645,-0.7979284200147625,-0.4944576312714031
1997,8,31022100,676,510100,4002883.0000000056,388280,48000,1516,0.4454740739181252,-0.3508794270297002,-0.5679296309687425
1997,8,31022100,791,510100,4756804.000000005,436816,56400,287,0.4571531643961607,-0.26650227902247137,-0.5548087331299886
1997,9,31022100,23,517600,1000000.0000000102,81000,12000,300,0.4297632268455597,-0.6869553598388292,-0.6509976523939179
1997,10,31022100,249,517600,6788695.000000002,539730,81363,2682,0.4961704810798743,-0.03909759386108681,-0.5269876502187985
1997,10,31022100,676,517600,1272848.0000000093,91280,15069,311,0.4359594473791458,-0.656418823411967,-0.6482186259026045
1997,12,31022100,249,517600,4095347.0000000056,274388,50398,1194,0.4793044494555333,-0.3405310634566728,-0.5987184330260065
1998,4,31022100,249,517600,12600066.999999993,692972,151549,3062,0.6459072720431179,0.6112981311141631,-0.48556123216608843
1998,6,31022100,23,517600,3000000.0000000065,174000,36000,900,0.47041158385985393,-0.4631198438968968,-0.6258566539802843
1998,6,31022100,249,517600,11737679.999999994,639797,140977,3195,0.6319143037063624,0.5147817115708555,-0.499936206259045
1998,9,31022100,87,517600,2000000.0000000084,113000,24000,510,0.4540072384387035,-0.575037601867863,-0.6423469862730977
